Site,JanQ,FebQ,MarQ,AprQ,MayQ,JunQ,JulQ,AugQ,SeptQ,OctQ,NovQ,DecQ
md147,1435,1240,1090,1535,877.5,570,388,155.5,109.5,244.5,900,820.5
md148,211.5,291,275.5,346.5,435,328.5,296,272,263.5,227,207.5,208
md149,631,920,898,816,788,422.5,379,454,375,361.5,318,549.5
md150,11.2,12.5,11.85,9.04,6.255,2.485,2.065,1.76,1.68,1.76,4.745,8.5
md151,1490,1850,1895,1570,1400,742,264,334,161.5,430,914.5,1515
md152,776.5,802,827.5,839.5,995.5,703,537,402,360.5,593.5,699,627
md153,836.5,1290,964.5,1215,1220,471.5,262.5,344,178.5,155,215,620
md154,3765,2120,1710,2790,1860,1200,919,861,1360,1245,1570,3365
md155,237.5,246,119,65,15.2,237.5,276,517.5,417,99.3,71.15,248.5
md156,1540,1440,561.5,1190,697.5,417.5,411.5,334,450.5,236,457,565
lg1,1865,1550,783.5,1260,921.5,1120,522,262,259,233,1120,919.5
lg2,3800,2750,2085,3380,4775,3745,2355,1440,1200,2000,3510,2685
lg3,1190,1400,1275,1405,1275,735.5,737.5,788,429,258,337.5,538
lg4,912,1290,853,2125,1595,626.5,626.5,674.5,847,925.5,523.5,451
lg6,84.6,86.7,109,238,1090,1790,497,155,123,122.5,108.5,79.05
lg7,16,17.8,40.3,24.2,9.355,4.855,0.525,0,0.405,0.75,11.445,16.1
lg8,272,283,495.5,1575,1045,451,285.5,256.5,315.5,756,587,416
lg9,44.6,53.6,190,63.45,36.6,28.8,21.1,21.85,14.7,12.4,20.8,27.3
lg10,161,156,188.5,487.5,3865,4745,1100,277,175,251.5,219.5,157
lg11,401.5,652,520,755.5,1030,311.5,157,160,82.25,120.5,136,131
lg12,2835,2710,2685,4105,2515,1460,958.5,833,843,1270,1870,2215
lg13,554,620,637,659,511.5,332.5,279,262.5,264,255.5,240,305.5
lg15,1960,2760,1850,2190,1870,1230,713.5,669,248.5,560,916,1760
lg16,796.5,724,736.5,811.5,939.5,398,238.5,220,251,425.5,573,442.5
lg17,3875,2860,2485,3645,2355,1370,1015,795.5,1310,2210,3895,4010
lg18,4500,3490,2690,3985,5000,3755,2375,1420,1230,1925,4280,3150
lg19,866.5,954,903.5,951.5,736,528,369.5,363.5,241.5,213.5,325,443.5
lg20,1570,2405,1285,1790,1195,475,290,327,140.5,315.5,439,1125
lg22,1405,1470,1295,2285,1715,748.5,451,607,355,391.5,933.5,1085
lg23,164.5,185,110,424.5,99.85,84.7,50.95,167.5,64.65,54.6,68.65,110.5
lg24,1545,2190,2005,1690,1620,886,458.5,370,304.5,333,345.5,955
lg25,1130,1100,1335,1520,1320,1170,1010,952.5,953,1010,1125,1125
lg26,114.5,151,102,209,939,315,197,191,152,154,62.9,57.55
lg27,2395,3380,2465,2710,1985,1070,468,609.5,147.5,461.5,1010,2035
lg28,4370,3430,3320,5095,4450,3015,2120,2225,2360,1990,3125,3270
lg29,158,146,147,119.5,97.85,91.85,74.35,151,76.4,113.5,150.5,143
lg30,3085,2290,2340,3865,3005,2115,1050,994.5,990,1425,1490,1860
lg31,911.5,885,1060,1250,1410,1245,1180,1100,943.5,901,904,998
lg32,3890,3860,3445,4855,2960,1710,1075,884,931.5,1385,2210,3050
lg33,1470,1240,1230,2685,2665,2580,1760,2045,1310,1270,1250,1370
lg34,2855,3240,2420,2815,2990,2235,1690,1740,1495,1100,1610,1745
lg35,1920,2070,1825,2310,1860,850,329.5,278,160.5,456,1180,1130
lg36,127,133,218.5,341.5,256.5,82.6,73.15,73.7,74.05,93.8,121,130
lg37,643,1090,849,1500,2490,1410,390,319.5,330,792,510,594
lg38,1290,1230,1450,1605,1430,1310,1140,1060,1060,1160,1260,1270
lg39,1280,1120,1200,1115,1100,1215,1235,1770,1540,1340,1185,1225
lg40,2980,1560,1320,1470,3320,3055,2005,2845,1805,1510,1575,1830
lg41,3255,4700,1930,3215,2865,1305,1095,995,960,943,1135,1565
lg42,853,755,3370,2590,2420,1555,1410,1390,1050,1110,1110,923.5
lg43,1020,1040,1230,1490,1370,545.5,263,169.5,162.5,268,755.5,522.5
lg44,2585,2550,1175,2345,1280,934.5,724,556.5,662.5,469,719,1045
lg45,360.5,348,1690,3620,1795,953.5,404.5,332.5,316.5,319.5,295.5,348.5
lg46,769,1260,1120,1550,2465,1435,541.5,342,333.5,701,444,554
lg47,886,871,1065,1320,1260,973,771,710.5,713,860.5,970.5,886.5
lg48,178,161,199,233,227.5,299.5,247,236,336,719,313.5,232
lg49,887,860,1715,1510,1780,1610,1250,1210,1310,821.5,1340,2105
lg50,1265,1090,938.5,1110,592,1115,661.5,1625,1765,1015,654,1055
lg51,5475,4530,4525,6190,4885,3400,2115,2255,2355,2025,3230,3990
lg52,990,979,1095,1305,1840,1900,1380,1240,1040,1030,999.5,1055
lg53,1385,1580,3730,3050,2610,2055,1660,1670,1335,1190,1225,1230
lg54,4275,4760,2640,3170,2875,1545,771,779,863.5,760,1625,3440
lg55,1800,1630,1775,2900,2610,2555,1750,2045,1410,1330,1350,1550
lg56,238,284,357,480.5,1200,3725,1250,412,322,390.5,392.5,269
lg57,1125,1480,2355,7910,12300,6045,1720,926.5,705,877,1310,1165
lg58,299,337,133.5,43.85,31.75,160,835,1910,1750,1915,900,441
lg59,196.5,196,165,150.5,135,105,81.8,87,84.85,157,133.5,241
lg60,2245,1350,3230,1625,507.5,212,136,134,145,166,297,916
lg61,4705,2460,2155,2810,3820,3465,2410,3165,2340,2200,2765,2735
lg62,5070,5670,3265,3710,3435,1705,911.5,869,821.5,866,1755,4005
lg63,4170,3960,5165,5240,2800,1810,1030,811,886,1125,1485,2775
lg64,1050,1030,1255,1575,1485,1160,922.5,858.5,849.5,1010,1120,1040
lg65,3400,5110,3285,4035,2825,2245,1315,797.5,597.5,673,1290,2315
lg66,2110,2410,2725,3040,2430,986,379.5,429.5,231,447,547.5,1610
lg67,2005,1910,2185,2480,2230,1985,1695,1600,1650,1795,1950,1950
lg68,1400,1720,1080,504,178,379.5,321,299.5,255.5,90.6,73.45,239
lg69,1690,1550,1090,1425,770,1435,864.5,1945,3340,1570,951,1355
lg70,2135,2580,4530,3675,2870,2575,1805,1730,1335,1155,1230,1370
lg71,1375,1700,1380,2105,2275,916,486,523.5,222,312.5,318.5,641.5
lg72,3150,4160,3075,3925,3375,2405,1350,798,526.5,764,1525,2425
lg73,1220,1230,1465,1760,1685,1350,1100,1030,1030,1190,1320,1230
lg74,1825,1570,1740,1745,1545,1670,1750,2400,2150,1865,1710,1645
lg75,3.005,9,20.6,217.5,89.9,45.25,33.35,4.54,5.035,11.02,14.65,7.5
lg76,2885,3140,2830,5265,4050,1575,1200,1455,1140,1385,1705,1970
lg77,325.5,368,636,1260,791,335,195.5,174,197,235,246,283
lg78,390,465,1820,3580,1870,754,404.5,318.5,306.5,287.5,328.5,408
lg79,1270,1270,1505,1790,1710,1365,1125,1080,1095,1230,1365,1260
lg80,4185,3810,3650,4530,2925,1360,1135,607.5,532,1040,3100,3385
lg81,1850,1210,2085,3615,3505,2335,1000,917,679.5,567,434.5,782.5
lg82,24.25,39.8,53.8,71.9,170.5,181,48.15,6.86,2.405,30.5,23.85,18.6
lg83,2400,3160,3175,7745,6625,5425,2770,2265,2220,2160,2160,2165
lg84,5110,7070,3760,5210,4510,2175,1800,1500,1195,1385,2105,2770
lg86,436,475,1840,3665,2045,888,440.5,366.5,342.5,377.5,375,414
lg87,15.7,32.6,62.3,103,123.5,35.4,19.05,13.75,20.55,37.65,27.85,18.45
lg88,487.5,386,416,354,296,233,160.5,169,183,362.5,306.5,547
lg89,1430,1350,1660,2000,1855,1455,1235,1180,1205,1375,1505,1370
lg91,3610,3620,3425,6015,4790,1760,1295,1600,1190,1465,1845,2515
lg92,404.5,457,5225,4065,3910,857.5,279.5,273.5,226.5,417,323,362.5
lg93,2605,2460,2695,2640,2950,1860,1320,746.5,470,780,1465,1240
lg94,2350,2890,5210,7610,5010,4100,3940,3460,2095,1915,1980,2380
lg95,4075,4160,4005,6895,5395,2065,1425,1770,1225,1500,1900,2760
lg96,2420,2130,2410,3480,2945,2870,1765,2080,1600,1475,1595,1905
lg97,3195,4190,5655,4850,3755,3190,2400,2275,1555,1355,1600,2070
lg98,41.4,48.5,65.5,120.05,113.45,69.3,65.6,57.3,33.2,37.15,43.3,38.35
lg99,7935,5610,2865,5795,4330,1670,1540,1580,1895,3390,7425,5690
lg100,1450,1460,1640,1745,2735,3195,1865,1555,1450,1490,1545,1470
lg101,5090,5050,2990,4995,3135,2925,1750,973,1245,993.5,2640,2660
lg102,587.5,581,758.5,3290,6990,4735,1370,727.5,654.5,648,734.5,623.5
lg103,3330,2430,3390,4070,4520,2190,895.5,333,119,260,643.5,996.5
lg104,2595,2430,3035,3780,3385,2315,1465,1270,1310,1730,2275,2040
lg105,2870,768,1310,1550,2000,1135,956,1055,1085,784,917,1245
lg106,3855,3580,4015,4145,4405,2960,1890,1145,695,986.5,1855,1640
lg107,2730,2440,3015,3470,3310,2800,1640,2060,1520,1460,1590,1985
lg108,5425,4620,3930,5830,3465,1440,1325,928,701.5,1400,3475,3460
lg109,2890,847,1555,1825,2290,1285,1045,1160,1280,893.5,956,1520
lg111,914.5,902,1095,1855,8730,13800,6675,3045,1900,1570,1390,1100
lg112,1050,1050,1075,933,616,604.5,541,537,536.5,906.5,958.5,1020
lg113,64.15,113,162.5,231.5,542.5,716.5,169,85.7,85.55,69.7,81.15,62.05
lg114,4165,4850,4000,4500,4065,3215,2375,2145,1690,1320,2020,2535
lg115,4165,3010,2515,2285,1910,1365,1125,1080,1880,1620,1610,2440
lg116,48.1,61.2,97.95,961.5,495,592.5,555,404,401.5,431,299.5,86.15
lg117,648,690,975.5,1660,1165,667.5,536.5,506,525.5,557,578,604
lg119,36.3,47.9,33.65,76.7,126.5,77.6,63.1,58.45,81,93.5,57.4,40.2
lg120,360.5,387,390.5,483.5,515.5,661.5,810.5,864,760.5,505,361,384
lg121,66.45,64.9,83.65,97.9,158.5,240,147.5,75.65,49.3,50.75,51.35,48.85
lg122,1445,1350,1975,6700,4550,2570,1835,996.5,1715,4370,2065,1600
lg124,13850,10100,10100,13000,9460,7530,4760,5265,5305,4830,6505,7940
lg125,5040,5580,5595,5785,7565,5675,3130,2445,2305,3465,4420,4000
lg126,215.5,243,297.5,302,141.5,715,85.45,85.7,80.6,200,247.5,168
lg127,437.5,413,542.5,1965,1590,1550,1080,1075,1025,854,887.5,568
lg128,3100,3460,4160,9545,7635,5145,3430,2840,3760,4925,3730,3355
lg129,7020,4760,6915,6625,4180,3515,2040,2280,2005,1940,2565,3410
lg131,154,281,298.5,1490,656,597.5,757.5,408.5,390.5,462,368,204
lg133,13700,18500,11150,13500,11400,5010,3050,2680,1650,2485,4500,11050
lg134,1310,1300,1310,1435,1340,1260,1240,1280,1320,1360,1330,1315
lg135,118.5,161,213,384,754.5,722.5,401.5,124,63.45,151.5,142.5,119
lg137,94.25,82.2,325,469,590.5,1665,925,538,291,177.5,125.5,83.65
lg138,18650,15500,13800,16800,10400,8490,5100,5380,5540,6140,9290,10800
lg139,13850,11800,10050,10400,10350,5835,4945,2555,1810,4225,12700,12150
lg140,6940,7220,7870,7090,10200,5690,3305,1395,1205,3495,4670,4435
lg141,8480,10700,9180,11600,11800,4640,3925,3625,1165,1003,2485,4030
lg143,15200,19900,13050,15700,13000,5865,3455,3260,1850,2920,4925,11900
lg144,3165,5500,6975,19650,34300,19000,4355,1730,1360,1945,3505,3005
lg145,1020,920,902,1100,2650,1680,988.5,911.5,782.5,955,944.5,1060
lg148,324.5,300,548.5,702,922.5,1960,1185,778,418.5,368.5,375,331
lg150,6955,6540,9975,12150,12500,9430,6920,3835,6390,8070,7380,6010
lg151,596.5,811,1390,3600,1975,1665,1485,1265,919,1335,807,628.5
lg152,5710,4600,3030,2650,2130,5120,5945,8245,8790,9060,7465,6945
lg153,616.5,752,836,2200,1315,1260,616.5,694,729.5,725.5,600,600.5
lg154,623,605,687.5,935.5,1965,2930,1060,820,768,703,664,635
lg155,9440,8700,11400,12500,13800,10550,9525,6235,7725,12045,10750,8975
lg156,5595,10100,17100,28400,41050,25000,14600,11050,6930,3670,5055,4855
lg157,4430,4480,4380,4940,4295,4050,3850,3815,3910,4230,4470,4480
lg158,40250,33150,25150,32900,16450,13200,7575,7465,8905,11000,18950,25550
lg159,384.5,398,1085,490.5,297,342,228,195,153,160,207.5,268
lg160,6555,11400,19450,31600,42850,25500,14800,11250,7230,3850,5455,5205
lg161,5320,5760,5685,6910,5505,4615,4300,4260,4340,4705,4895,5200
lg164,49000,40300,30050,38800,18750,15800,8630,7590,8730,10450,22650,27750
lg165,25350,21500,22300,27900,23850,10900,7205,6215,3380,5150,13650,15850
lg166,822.5,807,3590,2380,1310,936,733.5,462.5,809.5,711,603,667.5
lg167,205,168,217,254.5,246,283,80.2,57.5,69.05,89.2,67.4,91.2
lg168,196.5,272,293.5,343.5,278.5,186,96.2,103.5,146.5,131,112,122.85
lg169,227.5,265,155.5,370.5,406.5,146.5,74.45,299.5,191,149,143,130.5
lg170,10650,10500,18150,15700,8255,6785,6505,6800,7405,6190,5295,7610
lg171,585,626,780,1001.5,2116.5,964,805,658,555,465,819,748
lg172,3550,3610,4180,5975,10850,12900,4040,2125,2695,3780,4315,3430
lg173,2135,2200,1955,1805,1755,3860,2060,1930,1955,1620,1620,2090
lg174,14.25,16.8,20.45,18.85,2.64,1.325,1.21,0.915,3.355,4.71,9.345,14.47
lg175,4590,4910,4940,6625,8215,8225,5390,4445,4295,4025,4495,4740
lg176,3015,2780,3030,3245,9470,12850,4775,3430,3475,4240,3480,3420
