Site,DRAIN_SQKM,PPTAVG_SITE,RH_SITE,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,BFI_AVE,STOR_NID_2009,FORESTNLCD06,PLANTNLCD06,WETLANDSNLCD06,MAINS100_FOREST,IMPNLCD06,AWCAVE,PERMAVE,WTDEPAVE,ROCKDEPAVE,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_NORTHNESS,ASPECT_EASTNESS
sm12,12.0384,122.19,66,19,0.050156025,9.918737,7.489235,10.24313,9.979456,11.58916,10.78857,11.70665,9.642828,11.40814,9.224331,9.657632,9.350892,-2.08418,-0.961247,3.791192,9.611097,15.26294,20.12837,22.82772,22.11596,18.0211,11.99921,6.003448,0.5766716,53,337.9934211,51.43541,31.39952,1.801734,56.34589,0.470619,0.1301511,1.002919,4.011351,59.90163,216.081,4.336394,-0.445729165,0.895167868
sm13,12.2553,131.055,69,9.961804,0.367659592,19.58658,16.6308,14.3407,11.0553,8.986145,6.366562,2.634486,3.32822,6.144453,10.83117,20.52693,21.5007,3.684147,5.597548,7.703414,10.28905,13.35578,16.1331,18.82958,18.90865,16.57574,12.01086,7.22241,4.276526,46.22778,0,28.743483,28.486453,0.9032826,25.945322,10.33657,0.174,1.114,2.45,57.5,155.3302,8.131429,0.987136265,-0.159881188
sm14,13.1031,302.334,70,41.92746,0.398193457,45.02252,35.4623,30.75634,24.06923,17.60359,11.91222,4.911208,5.871845,12.10004,23.35047,45.82221,46.46216,-1.13542,0.1888007,1.921396,4.315047,7.566313,11.07834,15.20793,15.27568,12.73387,7.569448,2.112151,-0.38261,56.70813,1364.448108,81.88062302,0,0,43.76187122,0.02204822,0.1144459,3.591836,5.996202,51.32982,1078.955,25.72511,0.510392838,-0.859941365
sm15,13.1184,138.905,68,4,0.08178011,14.78502,12.60866,15.39124,10.92554,11.28924,9.996997,11.09898,10.82586,10.66533,9.474823,10.78311,11.527,4.921347,6.60684,10.73936,15.35774,19.70599,23.61808,25.33802,24.88172,21.77084,15.92183,10.5748,6.174767,56.07197,0,30.358121,4.589736,0.7821076,41.0790953,14.97482,0.137,1.597,5.88,59.1,324.498,3.833588,-0.485572685,-0.874196298
sm17,14.02431,246.209,69,35.98485,0.383592207,44.50694,34.64596,32.75659,25.72244,19.44738,13.27846,5.029791,6.244471,13.17155,21.71315,46.24434,48.69972,0.05886934,1.259678,3.020259,5.407068,8.451979,11.70429,15.26522,15.30453,13.24825,8.243171,3.168829,0.7094934,48.11088,0,93.28799,0,0,89.77938,0.003400924,0.1466475,3.280905,5.961824,45.31459,900.3061,27.12733,0.489624439,-0.871933432
sm18,14.0796,82.137,71,31.77544,0.145904223,5.568042,3.852097,6.429561,6.29401,7.86001,8.420592,8.62929,9.250699,9.384921,8.505694,7.374201,5.568124,-10.3463,-9.15603,-4.1839,3.49447,10.7068,15.892,18.71699,17.60493,12.98304,6.922917,-0.814056,-7.34801,61.90252,0,52.40987,0,8.29071872,77.19375,0.1059192,0.1182969,9.617396,3.998971,58.86877,434.0851,1.751416,-0.33890213,0.940821634
sm19,14.1264,317.003,74,52.17759,0.330582283,54.08273,34.29891,39.58249,28.71266,22.01982,18.29245,10.40719,10.58933,20.79602,31.70508,56.91739,54.85223,-1.11248,0.5043399,2.012068,5.350489,7.984803,10.8848,14.08448,13.86015,11.63156,7.01967,2.165432,-0.763521,53.33981,0,84.6330258,0,0.4778287,81.4772767,0.2310143,0.08685721,8.311131,5.320305,54.06051,1027.909,50.25106,-0.344211988,-0.938891957
sm20,14.2308,112.01,69,11.20548,0.060000547,8.539246,7.199545,9.833888,8.455946,11.27758,9.596361,10.35591,9.888723,10.83812,8.854105,8.768704,8.112022,0.6500177,1.937802,6.521982,12.15898,17.37775,22.05164,24.44546,23.53287,19.90593,13.57167,7.796922,2.425193,26.04724,0,34.992411,2.0806979,1.505186,49.4645231,21.55812,0.138667,1.987736,4.448812,56.92978,122.6725,3.171247,0.896331715,0.443384097
sm21,14.832,135.258,68,3.339624,0.071969647,14.24419,12.33535,14.84664,10.54305,11.02504,10.14277,11.37866,10.74497,10.37357,9.473678,10.42613,10.99585,5.036291,6.683669,10.74283,15.39403,19.739,23.59943,25.34088,24.86833,21.72897,15.88863,10.57019,6.212296,55.6216,1.662621359,27.688102,3.464806,2.196602,35.5614922,16.34332,0.1331502,1.855896,5.700345,57.74617,322.7364,3.987862,-0.725494501,0.688227963
sm22,18.68708,70.132,53,39.84377,0.198609723,8.244102,8.071442,9.327005,9.470961,8.991771,3.950584,2.748109,2.818918,5.910836,7.904398,8.516047,8.347285,-3.91503,-2.43667,0.9567603,4.988272,9.84628,14.56812,18.83725,18.35646,13.25355,7.295206,0.68239,-2.962,72.09018,0,86.32445,0,0,79.559537,0.003611499,0.08776981,3.116911,6,29.79788,2094.159,38.44634,-0.835885927,-0.548903194
sm23,21.2778,131.797,68,2.643178,0.067696321,13.65923,12.09667,14.3414,10.22577,10.5904,9.967253,11.56402,10.59939,9.970933,9.077061,10.06647,10.48298,5.317348,7.003509,11.11081,15.69876,20.08729,23.92568,25.6344,25.14337,22.05286,16.24141,10.90121,6.504108,52.30437,49.95093478,20.3620718,14.13586,1.801878,30.248832,14.82421,0.1220063,3.080528,5.399645,50.42059,300.2346,2.009412,-0.999256201,-0.038562213
sm24,21.6828,225.564,69,31.97466,0.404610468,49.42677,37.1627,34.16839,26.34659,18.31859,13.01981,5.30363,6.824868,12.84199,24.13375,51.42102,53.17316,-0.0697628,1.326601,3.380277,5.770926,8.827554,12.0013,15.41238,15.45653,13.42618,8.316554,3.014795,0.4605961,48.03286,0,89.0710576,0,0,77.19665,0.02623277,0.1597617,2.732305,5.941654,44.34258,850.9587,18.95398,-0.856374347,-0.516355476
sm25,22.9599,137.2,67,3.922504,0.067840559,14.17998,12.46038,14.98168,10.76703,11.21276,10.15223,11.81049,11.02583,10.97194,9.17114,10.12407,11.04854,4.8722,6.578956,10.7745,15.29606,19.65262,23.59959,25.34747,24.90031,21.79243,15.91742,10.60834,6.198365,49.49959,10.25714398,12.880719,1.340598,0.6977382,28.438392,37.08973,0.137,1.593956,4.40365,40.41732,303.0223,3.862309,0.344315222,-0.938854104
sm26,23.4855,119.416,73,10,0.480795272,18.93836,16.40363,14.10833,9.993388,6.083664,2.862776,1.035347,1.856966,3.488833,7.912565,20.92204,21.82016,4.495174,6.201625,7.662982,9.485583,12.45102,15.50498,18.65757,18.67835,16.40139,11.73769,7.341144,4.737424,32.01617,0,77.54359149,0,0.4636904,80.9934345,0.1970109,0.1589917,0.6549211,6,48.79581,315.6885,29.92236,-0.653288473,0.757109088
sm27,24.3738,139.937,68,4,0.084103206,14.97364,12.6807,15.52885,10.96542,11.32581,10.00245,10.92204,10.85836,10.76916,9.58668,10.89569,11.67261,4.90286,6.538529,10.62822,15.2804,19.60745,23.50303,25.22816,24.77706,21.66898,15.80119,10.4599,6.112098,56.87837,0,38.080641,2.274574,0.4135588,46.463182,12.64393,0.1358639,1.673403,5.826982,58.70047,329.8359,5.577914,-0.005235964,-0.999986292
sm28,24.4224,101.64,65,9,0.242214438,3.429308,3.58125,7.040271,9.684207,12.94267,13.03053,10.67914,10.16863,12.90173,9.217686,7.151308,4.87647,-2.25072,0.2418172,5.855177,12.43934,17.94247,22.97374,25.78089,24.81081,20.16139,14.01271,6.353898,0.1815341,21.62843,4.341833726,5.122347,0.21742334,0.04053656,18.92247,29.52675,0.1944941,1.226621,4.895829,58.89981,278.743,3.855333,0.596074938,-0.802928806
sm29,25.0614,86.179,72,24.01968,0.0873098,5.8361,4.934116,6.524012,7.223158,7.156024,8.726944,7.408584,8.667628,9.076401,6.986393,7.500854,7.032359,-3.98619,-3.59397,0.9121342,7.392943,13.60307,19.07445,21.7466,20.82687,16.8211,10.75407,4.7657,-1.38314,50.94344,0,31.4084656,33.72836,8.0262874,34.455401,4.988724,0.1165902,3.214281,3.982174,56.04485,149.8238,1.019897,0.999128407,0.041742375
sm30,25.686,117.101,75,19.66097,0.280426988,21.77246,16.75948,14.81739,13.58405,11.64062,8.708309,6.417683,6.559681,9.408086,15.4959,26.40997,23.24827,1.945891,3.976894,5.724084,8.379929,11.50491,14.29754,16.89411,17.05797,14.25922,9.573337,5.322861,2.6218,55.67793,0,58.735103,13.01682,4.467414,54.251458,1.299755,0.1825103,3.355028,3.745304,56.2402,317.3746,14.8513,0.857873935,-0.513860207
sm31,26.0874,129.363,73,0,0.279491695,7.40426,6.942346,9.319392,5.662337,9.513442,19.18681,18.07713,18.19121,15.81179,6.836985,6.365051,6.097363,15.66306,16.78627,19.27422,21.92922,24.85776,26.9529,27.68004,27.72675,26.82985,23.53873,19.53495,16.44643,45.28776,0,2.466708,21.703576,51.687025,1.324503,3.520596,0.1250851,13.03995,2.914713,57.34736,34.45784,0.6689708,0.735330142,0.67770907
sm32,26.1936,131.738,68,2.49598,0.069415463,13.68777,12.18111,14.3529,10.20594,10.55666,9.991231,11.85038,10.51936,9.899948,8.782775,10.11808,10.47891,5.454797,7.139233,11.28227,15.8499,20.29151,24.13324,25.81006,25.31543,22.24223,16.40345,11.025,6.616523,50,65.0072155,33.4180946,4.473612,0.374519,54.7260189,15.8561,0.1235304,2.847047,5.314299,50.56385,282.5642,3.824092,-0.997092786,0.076196962
sm33,26.6292,81.27,71,31.53393,0.142406889,5.496004,3.813056,6.198647,6.106172,7.594243,8.197954,8.249314,8.805458,9.274381,8.278614,7.087162,5.490178,-9.96396,-8.78661,-3.92378,3.4312,10.48669,15.7266,18.69227,17.71963,13.07809,7.150306,-0.436099,-6.89705,61.25781,0,84.554552,0,10.44004,50.0939,0.06120725,0.08125338,8.482565,4.273113,58.28223,377.8136,5.534159,0.988228381,0.152985836
sm34,27.5913,130.361,68,2,0.071500206,13.62907,12.24665,14.29056,10.04214,10.5656,9.849787,12.87083,9.947408,9.778187,8.160754,10.30759,10.19896,5.719252,7.42535,11.50332,16.09787,20.55008,24.39434,25.99337,25.51945,22.46724,16.6586,11.21515,6.800209,46.10112,0,11.8080697,1.131878,0,32.95262,34.88567,0.1346097,1.629582,3.313014,29.93888,290.0663,4.214002,-0.933455276,0.358693809
sm35,27.90146,69.673,54,68.44257,0.250646501,12.17335,9.598586,8.96186,7.416203,7.605059,4.554728,4.165965,4.679635,4.145997,5.414625,10.7627,11.40663,-9.22305,-7.60993,-4.58189,0.000424221,5.151817,9.592231,13.95104,13.19653,8.409729,2.654886,-4.73454,-8.53855,77.74763,0,64.244014,0,0.05161456,88.875,0.006645376,0.09797409,4.180855,5.687363,36.63148,2535.388,33.18309,-0.250675696,-0.968071121
sm36,30.4245,359.797,73,52.02311,0.370284983,59.10492,43.34899,43.23832,28.79649,22.56485,15.19959,10.24754,9.194512,20.02299,36.06743,66.15547,56.73445,-1.13057,0.6275656,2.289767,5.213439,8.044736,11.11349,14.62556,14.53175,12.10949,6.883971,2.129558,-0.793711,55.39464,0,71.9242684,0,0.01774885,79.082987,0.03810087,0.12506,2.355121,4.988066,51.80307,992.4869,53.30122,0.660394938,-0.750918454
sm37,33.9633,112.041,69,11.88664,0.047661767,8.652931,7.382142,10.07469,8.493472,11.28867,9.445041,10.32202,9.596946,10.79612,8.843228,8.833705,8.697721,0.5000856,1.712541,6.328309,11.96192,17.25951,21.78037,24.102,23.1957,19.62726,13.45562,7.694664,2.252641,49.06084,0,32.0216261,7.141532,2.061637,64.355581,12.89308,0.1455855,2.350049,4.87148,58.56845,121.7014,3.683358,-0.874450423,0.485114891
sm38,35.1324,133.357,67,2,0.075243968,13.94746,12.37146,14.42927,10.28767,10.56589,10.17576,12.98077,9.987356,9.709928,8.157225,10.29066,10.15758,5.688302,7.407966,11.46217,16.06529,20.48797,24.33023,25.94042,25.47692,22.42509,16.58389,11.17513,6.804584,45.61085,0,13.1084124,0.9888308,0.05635823,39.2478935,34.20832,0.1309111,1.682431,2.902977,21.57294,285.6578,4.212881,0.756196187,-0.65434496
sm40,39.7521,144.184,69,11.30588,0.361969975,21.39179,18.39998,15.76744,12.68716,9.980675,7.26366,2.918141,3.653917,7.039119,12.0916,22.694,23.76839,3.444571,5.31391,7.460769,10.05018,13.17231,15.89693,18.60431,18.62244,16.26146,11.77271,7.046008,4.069774,48.6911,0,21.847906,38.92096,1.5146375,15.534232,9.410786,0.1662493,0.9083716,3.723695,52.58738,176.7569,7.267421,0.898181089,-0.439625672
sm41,40.41889,123.304,69,1,0.028696549,12.80808,10.40449,12.32052,7.995127,8.455046,12.06932,12.00633,11.80975,10.3317,8.296063,7.995718,9.042779,6.63841,8.230081,12.24113,16.79219,21.23649,24.98575,26.69719,26.04989,23.07435,17.19292,11.99196,7.607847,61.6791,8.63306736,53.769232,12.676213,7.213327,49.719565,0.6600673,0.09380402,5.210018,5.099343,60,159.7277,3.81168,-0.840472045,0.541854909
sm42,40.7034,215.793,69,33.8231,0.375063134,42.80135,33.29196,32.212,25.63042,19.73808,13.22229,4.833488,6.126224,13.02451,20.87553,44.06752,46.26965,0.6551003,1.87799,3.667004,6.151383,9.127657,12.28147,15.65389,15.68313,13.76586,8.81613,3.781227,1.302157,49.4555,0,90.26003224,0,0,93.88573259,0.00959625,0.1583506,2.783486,5.940161,44.66469,798.1758,21.94298,0.592574273,-0.805515817
sm43,41.0976,56.518,56,48.61744,0.138852004,6.108061,5.688053,5.685278,4.846656,5.38199,2.792095,3.230489,3.306136,3.945556,5.258958,5.865604,4.453143,-5.44378,-3.85027,-0.270865,4.62386,9.65939,14.04792,18.46056,17.69911,12.80784,6.993717,-0.266079,-4.44709,69.88658,6.240364401,19.79020691,2.11764144,0.2387001,7.268857,3.736379,0.1198173,2.318503,4.72224,53.78335,2063.044,10.081,0.997845547,-0.065606894
sm44,43.22191,138.239,67,2.235914,0.105235354,14.49259,13.2064,16.0109,11.74101,10.54785,11.22333,12.64866,9.736633,9.157498,7.976522,11.33104,11.8399,5.855673,7.570807,11.4833,15.97697,20.24798,23.76102,25.51552,25.06212,22.18625,16.50774,11.17024,7.017156,51.67259,0,73.6997755,10.18517,0.3457541,85.8893833,0.3711025,0.1348835,2.584683,5.778262,47.51737,349.5394,6.073295,-0.258650455,0.965970984
sm45,43.94812,144.585,69,2,0.08313626,14.59903,11.99527,16.45296,12.37873,11.54966,11.0719,13.70083,8.699546,11.36421,9.039209,12.05291,11.82566,5.750667,7.66155,11.7091,16.31768,20.6159,24.46437,26.18102,25.83269,22.8167,16.69164,11.10417,6.97781,37.47032,0,38.695338,8.4485411,1.042499,23.80952,11.1985,0.1305007,1.482919,5.396207,47.25728,220.5476,5.112096,-0.36325123,-0.931691228
sm46,44.6526,132.174,68,2.631717,0.06894689,13.7727,12.18059,14.43043,10.29213,10.64846,10.0092,11.6904,10.59555,10.03641,8.995658,10.12927,10.55187,5.30146,6.983962,11.12712,15.70698,20.11657,23.96704,25.66519,25.1806,22.08637,16.26079,10.90037,6.490447,50.606,40.06671504,27.1878922,8.638691,1.011811,45.50691,15.88284,0.1239374,2.784697,5.291508,50.60211,296.528,3.199374,-0.931627814,0.363413836
sm49,50.1957,26.752,44,55.26421,0.285745992,6.891589,5.504924,9.548058,6.003752,7.004938,3.016863,1.893512,2.396378,2.32748,3.983249,4.26767,5.249939,-4.13134,-2.99712,-0.752557,2.107045,6.950711,11.85325,16.72067,15.91766,11.53677,6.11272,-0.229188,-3.49116,65.52705,0,54.499488,0,0.6562315,49.862814,8.96E-05,0.1059974,1.790152,6,35.37945,2740.028,43.73092,0.248834929,0.968545909
sm50,51.84,205.013,74,45.40047,0.315730906,46.1105,30.30339,33.81467,25.90874,20.34044,16.78946,9.535848,9.478257,18.23592,27.71433,48.99886,46.67629,-0.595686,1.025959,2.662189,5.764782,8.521448,11.39827,14.49332,14.40124,12.21816,7.596496,2.76504,-0.175194,53.77579,0,74.9895792,0,0.6041666,46.744233,0.6928473,0.1271878,4.573122,4.655989,54.69214,875.0152,42.98266,0.263246743,-0.964728538
sm51,52.065,87.64,69,17.7298,0.265288529,3.021459,3.104718,5.748816,9.341719,9.117636,11.35168,10.52765,10.58071,8.607519,6.271716,6.208259,3.772746,-8.21904,-5.71726,0.38754,7.797056,14.24269,19.38134,21.8655,20.7687,16.18255,9.713038,1.909175,-4.98379,59.4304,0,9.55229079,40.238553,0.4373379,11.42365,17.32299,0.1639217,3.536244,4.717653,59.28716,315.3598,3.243992,-0.862954938,-0.505280886
sm53,53.919,130.773,66,31.91578,0.014056362,10.88894,8.86428,11.34595,11.13715,12.29343,11.33878,11.10609,11.04523,11.5992,11.5638,11.9383,11.6327,-6.47427,-5.48165,-0.493129,6.076942,12.25232,16.92669,19.53182,18.60353,14.23342,8.535458,2.735075,-3.73983,44.55763,5.648305792,89.058591,0.77783341,4.6970458,85.37389,0.1788349,0.1251637,2.753969,4.0528,44.38006,391.179,6.954495,-0.398022284,0.917375747
sm55,55.9404,129.923,75,0,0.20841449,9.129983,7.685474,10.53864,7.534358,8.880594,15.42791,15.87504,17.1668,17.77241,8.710125,6.035561,6.779227,12.88867,14.37226,17.31375,20.57604,24.166,26.82163,27.96657,27.70954,26.2074,21.99008,17.51581,13.90221,31.96058,0,11.1059268,0.19949803,11.8990885,7.6124568,22.402,0.08948597,8.590195,1.171486,55.47707,13.08698,0.4266833,0.446822486,0.894622639
sm57,58.10103,73.35,66,59.44349,0.103353883,6.683752,7.258231,8.621529,6.793659,8.890417,10.89332,5.608097,3.713213,2.796383,6.29998,12.46659,8.191315,-7.14879,-5.48706,-3.41752,-0.157999,3.954211,7.494238,11.23291,11.35971,8.124597,1.842777,-3.84925,-6.93315,66.47265,0,26.97682,0,0.26182066,39.44374,0,0.09565675,2.709616,5.959031,48.79735,1936.799,35.30999,-0.937513572,0.347948705
sm58,58.1445,188.403,72,38.57428,0.41245317,49.22223,37.69079,32.59161,20.60529,14.54896,11.28453,8.580745,9.546543,15.51359,31.2581,61.48469,55.56853,-0.277168,1.368599,2.48772,5.329473,8.274333,11.40793,14.57742,14.91766,11.58652,7.051979,3.004871,0.2003446,57.54264,0,66.8477706,0,0.198127039,89.974173,0.6155716,0.1670717,2.35663,3.682503,55.61119,932.8713,37.78682,-0.30633336,-0.9519243
sm59,59.5908,130.063,68,2,0.06651632,13.31373,12.10979,14.09911,9.72851,10.47134,9.559989,13.01196,9.821343,9.858883,8.054298,10.31833,10.02687,5.924173,7.607409,11.65355,16.2248,20.69446,24.50997,26.08889,25.61825,22.57094,16.77946,11.3325,6.949624,45.78678,6.207334018,19.833263,0.291488,0.7672325,37.068279,31.15219,0.1326227,1.664974,3.224019,25.73855,283.5112,3.938591,0.011169875,0.999937615
sm60,59.8653,194.667,70,28.82317,0.3685765,38.22704,30.32909,28.71826,23.15639,17.90277,12.17567,4.572875,5.643968,11.98505,19.56441,39.53711,41.15434,0.8904822,2.243542,4.089368,6.650487,9.678348,12.78276,16.09803,16.10103,14.0436,9.257708,4.143153,1.557101,51.36594,0,84.5843956,0.8328698,0,88.3333356,0.009711803,0.1470719,2.251454,5.931323,49.6323,724.6661,18.21923,-0.267250149,-0.963627188
sm61,60.70827,111.09,69,10.99443,0.059865811,8.61289,7.238195,9.897119,8.447141,11.29899,9.514262,10.52469,9.934313,10.951,8.874806,8.733691,8.179822,0.8097757,2.058514,6.641456,12.25747,17.50208,22.18634,24.66619,23.75142,20.0698,13.74486,7.943751,2.593583,28.28834,0.487445944,24.772056,0.38249993,2.44622,35.0765291,22.5642,0.1363687,2.215804,5.437326,58.31335,105.3714,3.079585,-0.826477753,0.562969381
sm62,62.4241,222.069,68,32.54996,0.410095967,32.13997,26.85835,25.28736,18.0691,13.07866,8.3588,3.500301,3.832519,8.418409,16.08668,36.31836,35.42043,1.94085,3.069544,4.268709,6.701198,9.778885,13.60827,16.97049,17.20664,14.47474,9.612698,4.050974,2.342942,63.49858,0,93.60140032,0,0,93.7094325,0.01972347,0.1485649,2.606857,5.927188,43.87478,982.6691,33.2504,0.234502522,-0.972115511
sm64,66.6477,190.336,70,33.57003,0.423133181,32.58481,26.30586,22.66734,16.86707,12.79563,8.266688,2.813002,3.408391,7.305534,15.47445,34.96445,34.49129,1.018528,2.203893,3.424185,5.553284,8.96251,12.7063,16.32491,16.37685,13.70982,8.694564,3.53209,1.687261,64.0527,0,87.63047383,0,0,92.4025257,0.07902448,0.1535968,2.824226,5.955828,44.71199,1027.919,26.51605,0.800312978,-0.599582468
sm65,68.0589,135.281,67,3.065339,0.072785245,14.09048,12.41276,14.86401,10.66109,11.16303,10.1248,12.14009,10.64001,10.38819,8.849655,10.20804,10.81991,5.037684,6.753768,10.9309,15.46147,19.82735,23.75026,25.47584,25.02122,21.92194,16.0574,10.73736,6.321959,47.83843,40.38203674,17.9407842,0.1018236,0.3834914,36.238219,27.78507,0.137,1.593,3.94,34.55,298.3167,4.146381,-0.955329958,-0.295541318
sm66,68.4882,130.088,70,10.84568,0.362551731,20.49221,17.53041,15.03399,11.93799,9.511433,6.919171,2.817148,3.538186,6.683068,11.47302,21.63631,22.71622,3.573599,5.466052,7.596852,10.1817,13.28567,16.03398,18.74092,18.78357,16.42795,11.90563,7.151212,4.191913,47.7091,0.540093038,23.28051,28.61705,1.4783572,18.567853,14.64644,0.1674349,1.209827,3.387976,53.32396,160.5515,7.689132,0.904052712,-0.427420979
